"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"No app data to clear — already clean.","साफ करण्यासाठी कोणताही ॲप डेटा नाही — आधीच साफ आहे.","साफ़ करने के लिए कोई ऐप डेटा नहीं - पहले से ही साफ़।","pending-fluent-review","","1","www/index.html","6362","script-message","cd700ce3c8ff854219d4ee40ccd2a803bbdc5c2ababb307e654171c35a0f1389"
"Factory reset is blocked because this device has no accepted restore test. First restore a current encrypted .sccbak backup, review its control totals, and accept them. Then return here. This proves the rollback path works before data is deleted.","फॅक्टरी रीसेट अवरोधित केले आहे कारण या डिव्हाइसची पुनर्संचयित चाचणी स्वीकारलेली नाही. प्रथम वर्तमान कूटबद्ध केलेला .sccbak बॅकअप पुनर्संचयित करा, त्याच्या नियंत्रण बेरीजचे पुनरावलोकन करा आणि ते स्वीकारा. मग इथे परत. हे सिद्ध करते की डेटा हटवण्यापूर्वी रोलबॅक मार्ग कार्य करतो.","फ़ैक्टरी रीसेट अवरुद्ध है क्योंकि इस डिवाइस में कोई स्वीकृत पुनर्स्थापना परीक्षण नहीं है। सबसे पहले वर्तमान एन्क्रिप्टेड .scbak बैकअप को पुनर्स्थापित करें, इसके नियंत्रण योग की समीक्षा करें और उन्हें स्वीकार करें। फिर यहीं लौट आओ. यह साबित करता है कि रोलबैक पथ डेटा हटाए जाने से पहले काम करता है।","pending-fluent-review","","1","www/index.html","6364","script-message","1c020e769c6f4d5b6f78894c38216e27dd33101e7a939d334848338c06214f4a"
"Factory reset will permanently delete ALL saved data for every module (","फॅक्टरी रीसेट प्रत्येक मॉड्यूलसाठी जतन केलेला सर्व डेटा कायमचा हटवेल (","फ़ैक्टरी रीसेट प्रत्येक मॉड्यूल के लिए सभी सहेजे गए डेटा को स्थायी रूप से हटा देगा (","pending-fluent-review","","1","www/index.html","6367","script-message","e1cb9c7e05c70a48ff18c451d55c5e06e5edb49aa96c37887ffe5b5a14714ae0"
"Factory reset cancelled.","फॅक्टरी रीसेट रद्द केले.","फ़ैक्टरी रीसेट रद्द किया गया.","pending-fluent-review","","1","www/index.html","6368","script-message","9f1e3cf363719b9f82cfcb8fead967d99330ff17beb258ef3a1b8c354320c980"
"Writing safety backup…","सुरक्षितता बॅकअप लिहित आहे...","सुरक्षा बैकअप लिख रहा हूँ...","pending-fluent-review","","1","www/index.html","6373","script-message","10f1a2c169b549a62bfd3d33177670a83c9efe5b91b3459fcb007c71c1e6f777"
"Factory reset ABORTED — the safety backup could not be written and verified:","फॅक्टरी रीसेट रद्द केले - सुरक्षितता बॅकअप लिहिणे आणि सत्यापित करणे शक्य नाही:","फ़ैक्टरी रीसेट निरस्त - सुरक्षा बैकअप लिखा और सत्यापित नहीं किया जा सका:","pending-fluent-review","","1","www/index.html","6378","script-message","d6784ce8caba9c38bb2d7f8f68a1eefc541c27d006361de7b7b628be1ac82d92"
"Safety backup saved","सुरक्षितता बॅकअप जतन केला","सुरक्षा बैकअप सहेजा गया","pending-fluent-review","","1","www/index.html","6381","script-message","16169a3b198d50953fcd0676356d3de7d2a97771a151db213970e7a0ee0862ba"
"Factory reset ABORTED because the encrypted ETP store could not be cleared. No app reload was started.","फॅक्टरी रीसेट रद्द केले कारण एनक्रिप्ट केलेले ETP स्टोअर साफ करता आले नाही. कोणतेही ॲप रीलोड सुरू झाले नाही.","फ़ैक्टरी रीसेट निरस्त कर दिया गया क्योंकि एन्क्रिप्टेड ईटीपी स्टोर साफ़ नहीं किया जा सका। कोई ऐप पुनः लोड प्रारंभ नहीं किया गया था.","pending-fluent-review","","1","www/index.html","6458","script-message","949fe4383dc6612e1d1c390d3a8c676caaabb45055bc1a4fd0d9d4297ab24aa1"
"Factory reset aborted — ETP storage was not cleared.","फॅक्टरी रीसेट रद्द केले — ETP स्टोरेज साफ केले गेले नाही.","फ़ैक्टरी रीसेट निरस्त किया गया - ETP संग्रहण साफ़ नहीं किया गया।","pending-fluent-review","","1","www/index.html","6459","script-message","caf0f84701675dedadc8fc265676fc6150eda9db8d2e6a96f4887b7c7c3a14f4"
"Resetting — wiping all stores…","रीसेट करत आहे — सर्व स्टोअर पुसत आहे...","रीसेट कर रहा है - सभी स्टोर मिटा रहा है...","pending-fluent-review","","1","www/index.html","6472","script-message","43fb965b199ce504e98a30d101a67be833de7728fca7bfabdd6b5f42288ab3b5"
"Reset finished (with warnings) — reloading…","रीसेट पूर्ण झाले (चेतावणीसह) — रीलोड करत आहे...","रीसेट समाप्त (चेतावनी के साथ) - पुनः लोड हो रहा है...","pending-fluent-review","","1","www/index.html","6476","script-message","047d5099fc75fe89530d1625b2ea89dae77bb9ddfdc2b1c88bfc0c86281d4c92"
"Nothing older than 12 months to archive.","संग्रहित करण्यासाठी 12 महिन्यांपेक्षा जुने काहीही नाही.","संग्रहित करने के लिए 12 महीने से अधिक पुराना कुछ भी नहीं।","pending-fluent-review","","1","www/index.html","6516","script-message","3c8c9d6c57f0ad632e8a765a03418014160db6b3a70c8e88e4871968f971ab73"
"Archive cancelled.","संग्रहण रद्द केले.","पुरालेख रद्द कर दिया गया.","pending-fluent-review","","1","www/index.html","6518","script-message","81de4279901df76a6d155c8e3fe9f9a647a0043518ea3f66689e137cb493b580"
"Export failed — archive aborted, nothing was deleted.","निर्यात अयशस्वी — संग्रहण रद्द केले, काहीही हटवले नाही.","निर्यात विफल - संग्रह निरस्त किया गया, कुछ भी नहीं हटाया गया।","pending-fluent-review","","1","www/index.html","6539","script-message","e18334ae87e11d8565ab38268e2bb4cb9caec29c875409fc5e0613a7ca4c2426"
"Disable automatic backup","स्वयंचलित बॅकअप अक्षम करा","स्वचालित बैकअप अक्षम करें","pending-fluent-review","","1","www/index.html","6751","element:button","f262f9858c557654014436401d6f2d567751e5ac16d969e92a5861ad08315e7b"
"Keys","कळा","कुंजियाँ","pending-fluent-review","","1","www/index.html","6785","element:th","f0d66a79c138e951c2f840fcd94ea9bdf399f745088a832a9ba49cf07f7125de"
